Սեռ,Բնակության վայրը,Քաղաք/Գյուղ,Տարիք,Արկածային,Բանաստեղծություններ,Դասական,Կոմիքս,Դետեկտիվ.,Դրամա,Առակ,Հեքիաթ,Ֆանտաստիկա,Սարսափ,Լեգենդ,Ռոմանս,Կենսագրություն,Թրիլլեր,Երկխոսություն,Այլ,Գիրք 1,Գիրք 2,Գիրք 3,Գիրք 4,Գիրք 5,Գիրք 6,Գիրք 7,Գիրք 8,Գիրք 9,Գիրք 10,_Գիրք 1_,_Գիրք 2_,_Գիրք 3_,_Գիրք 4_,_Գիրք 5_,_Գիրք 6_,_Գիրք 7_,_Գիրք 8_,_Գիրք 9_,_Գիրք 10_,Հեղինակ 1,Հեղինակ 2,Հեղինակ 3,Հեղինակ 4,Հեղինակ 5,Հեղինակ 6,Հեղինակ 7,Հեղինակ 8,Հեղինակ 9,Հեղինակ 10
Աղջիկ,Երևան,Երևան,12-14,Արկածային,,Դասական,Կոմիքս,Դետեկտիվ.,Դրամա,,,,,,Ռոմանս,Կենսագրություն,,Երկխոսություն,,Վ.Սարոյան<>,Ս.Աղաջանյան<>,Կ.Լաֆորետ<>,Ա.Ալյեն<>,Մ.Արեն<>,Ա.Շիրվանզադե<>,Լերմոնտով<>,Ա.Դյումա<>,Հ.Հեսսե<>,Գ.Գ.Մարկես<<100 տարվա մենություն>>,Ստենդալ «Կարմիրը եւ սեւը»,Միխայիլ Բուլգակով «Վարպետն ու Մա րգարիտան»,,,,,,,,,Հերման Հեսսե,Վարդկես Պետրոսյան,Վիլյամ Սարոյան,Այդ Ալյեն,,,,,,
Աղջիկ,Երևան,,23+,Արկածային,,Դասական,,Դետեկտիվ.,,,,Ֆանտաստիկա,Սարսափ,,,Կենսագրություն,Թրիլլեր,,,Один день ,Тесс из рода д'Эрбервиллей,Жажда жизни,Убик,Пандемия,Завтра,,,,, Дом в котором,Бегущая с волками,К востоку от эдема,,,,,,,,Томас Гарди,Драйзер,Франк Тилье,,,,,,,
Աղջիկ,Տավուշ,Նոյեմբերյան,15-18,Արկածային,,Դասական,,,Դրամա,,,Ֆանտաստիկա,,,Ռոմանս,,,,"Փլիսոփայական , ",Սերը ժանտախտի օրերին ,,,Ապրած և չապրած տարիներ,,,,,,,Փոխիր կյանքդ,Բռնիր ձեռքս ես վախենում եմ,731 օր քեզ համար,Չգտնված երիցուկներ,Կախվածություն,Զոլավոր գիծերազգեստով տղան,Կամքի ուժ,Մտածել ինչպես Շեռլոկը ,"Այնտեղ,որտեղ ծաղկում են վայրի վարդեր", Աստղերն են մեղավոր,Վարդգես Պետրոսյան ,Հրաչյա Մանուկյան ,,,,,,,,
Աղջիկ,Երևան,,15-18,,,,,,,,,,,,Ռոմանս,,,,,Հայրենասեր օրիորդը,Աստղերն են մեղավոր,Քաոս,Պատվի համար,731 օր քեզ համար,,,,,,Աղջիկ ջան մի արդարացիր,Ինձ պիոններ չնվիրես,Թքած ունենալու նուրբ արվեստը,,,,,,,,Մուրացան,Շիրվանզադե,,,,,,,,
Աղջիկ,Լոռի,Ստեփանավան,12-14,Արկածային,,,,Դետեկտիվ.,Դրամա,,,,,,,,,,,Ես և նա,,,,,,,,,,Հարուստն ու աղքատը,,,,,,,,,,Գուրգեն Մահարի,Նար֊Դոս,,,,,,,,
Աղջիկ,Սյունիք,,23+,,,,,,,,,,,,Ռոմանս,,,,,Ջեյն Էյր,Կոմս Մոնտե Քրիստո,,,,,,,,,,,,,,,,,,,Տերյան,Սևակ,Համո Սահյան,Իսահակյան,Ակսել Բակունց,,,,,
Աղջիկ,Երևան,"Այս պահին՝ LA- ում եմ, ստիպված եմ մեծամասամբ օնլայն կարդալ👀💗",19-22,Արկածային,Բանաստեղծություններ,Դասական,Կոմիքս,Դետեկտիվ.,Դրամա,Առակ,Հեքիաթ,,,,Ռոմանս,Կենսագրություն,Թրիլլեր,Երկխոսություն,,Աստղերն են մեղավոր,Ալ. Դյումա <>,100 բիզնես գաղտնիքներ,Էքզյուպերի <>,Էրիխ Ֆրոմ <>,Դյումա <>,<>,Դանիել Սմիթ <>,Դեյան Տրայկոսկի <>,Հաջորդը կլինի ձեր ուղարկած գրքերից՝ կարծում եմ😍😍,"Spencer Johnson "" Who moved my cheese?"" 2րդ անգամ արդեն",Հենրի ֆորդ <>,"Daniel Goleman  ""Emotional intelligence""",Կոելյո <<11 րոպե>>,Ձեր ուղարկած գրքերից,Ձեր ուղարկած գրքերից,Ձեր ուղարկած գրքերից,Ձեր ուղարկած գրքերից,Ձեր ուղարկած գրքերից,Ձեր ուղարկած գրքերից,Ալեքսանդր Դյումա,Նար֊Դոս,Պարույր Սևակ,Համո Սահյան,Հովհ. Թումանյան,Դաստաևսկի,Վիլյամ Սարոյան,Spencer Johnson,Ken Blanchard,Stephen R. Covey💗💗💗
Աղջիկ,Լոռի,Ստեփանավան,12-14,Արկածային,,,,,,,,,,,,,,,,Ճանապարհային վիրուսն ուղևորվում է հյուսիս,100 բիզնես գաղտնիքներ,5 ակումբի ճանապարհորդները,,,,,,,,,,,,,,,,,,Էռնեստ Հեմինգուեյ,Սթիվեն Քինգ,,,,,,,,
Աղջիկ,Լոռի,,19-22,,,Դասական,,Դետեկտիվ.,Դրամա,,,Ֆանտաստիկա,Սարսափ,,Ռոմանս,Կենսագրություն,,,,Աստղերն են մեղավոր,Թատրոն,Դերասանի աշխատանքն իր վրա,Ալքիմիկոսը,,,,,,,Փոթորկից առաջ,,,,,,,,,,Հ. Սահյան,Մարկ Արեն,,,,,,,,
